日付,駅名,乗車人員数
2019-05-01,さっぽろ（南北線）,48660
2019-05-01,さっぽろ（東豊線）,21586
2019-05-01,大通（南北線）,36698
2019-05-01,大通（東西線）,14521
2019-05-01,大通（東豊線）,9700
2019-05-01,すすきの,19233
2019-05-02,さっぽろ（南北線）,49438
2019-05-02,さっぽろ（東豊線）,29386
2019-05-02,大通（南北線）,38422
2019-05-02,大通（東西線）,14094
2019-05-02,大通（東豊線）,11631
2019-05-02,すすきの,19448
2019-05-03,さっぽろ（南北線）,49282
2019-05-03,さっぽろ（東豊線）,23454
2019-05-03,大通（南北線）,37977
2019-05-03,大通（東西線）,15336
2019-05-03,大通（東豊線）,10908
2019-05-03,すすきの,19317
2019-05-04,さっぽろ（南北線）,48209
2019-05-04,さっぽろ（東豊線）,24429
2019-05-04,大通（南北線）,38444
2019-05-04,大通（東西線）,15161
2019-05-04,大通（東豊線）,10967
2019-05-04,すすきの,19568
2019-05-05,さっぽろ（南北線）,44878
2019-05-05,さっぽろ（東豊線）,21054
2019-05-05,大通（南北線）,35858
2019-05-05,大通（東西線）,13956
2019-05-05,大通（東豊線）,9392
2019-05-05,すすきの,17201
2019-05-06,さっぽろ（南北線）,37072
2019-05-06,さっぽろ（東豊線）,18891
2019-05-06,大通（南北線）,30336
2019-05-06,大通（東西線）,11495
2019-05-06,大通（東豊線）,8534
2019-05-06,すすきの,12555
2019-05-07,さっぽろ（南北線）,53243
2019-05-07,さっぽろ（東豊線）,31513
2019-05-07,大通（南北線）,41133
2019-05-07,大通（東西線）,21409
2019-05-07,大通（東豊線）,14813
2019-05-07,すすきの,13002
2019-05-08,さっぽろ（南北線）,54874
2019-05-08,さっぽろ（東豊線）,33223
2019-05-08,大通（南北線）,42570
2019-05-08,大通（東西線）,21531
2019-05-08,大通（東豊線）,15695
2019-05-08,すすきの,14166
2019-05-09,さっぽろ（南北線）,55802
2019-05-09,さっぽろ（東豊線）,33243
2019-05-09,大通（南北線）,42634
2019-05-09,大通（東西線）,21543
2019-05-09,大通（東豊線）,15582
2019-05-09,すすきの,14181
2019-05-10,さっぽろ（南北線）,59547
2019-05-10,さっぽろ（東豊線）,34896
2019-05-10,大通（南北線）,46601
2019-05-10,大通（東西線）,22397
2019-05-10,大通（東豊線）,16116
2019-05-10,すすきの,17426
2019-05-11,さっぽろ（南北線）,51535
2019-05-11,さっぽろ（東豊線）,29406
2019-05-11,大通（南北線）,42662
2019-05-11,大通（東西線）,16939
2019-05-11,大通（東豊線）,12683
2019-05-11,すすきの,19019
2019-05-12,さっぽろ（南北線）,40397
2019-05-12,さっぽろ（東豊線）,22552
2019-05-12,大通（南北線）,33815
2019-05-12,大通（東西線）,13197
2019-05-12,大通（東豊線）,9984
2019-05-12,すすきの,14689
2019-05-13,さっぽろ（南北線）,54556
